Bundesland;Datum;Altersgrupppe;EW_Fallzahl
Baden-Württemberg;2020-07-08;60+;4.4083
Baden-Württemberg;2020-07-09;00-19;8.9833
Baden-Württemberg;2020-07-09;20-59;22.883
Baden-Württemberg;2020-07-09;60+;5.1083
Baden-Württemberg;2020-07-10;00-19;9.5333
Baden-Württemberg;2020-07-10;20-59;34.017
Baden-Württemberg;2020-07-10;60+;4.85
Baden-Württemberg;2020-07-11;00-19;14.392
Baden-Württemberg;2020-07-11;20-59;26.383
Baden-Württemberg;2020-07-11;60+;7.275
Baden-Württemberg;2020-07-12;00-19;6.6833
Baden-Württemberg;2020-07-12;20-59;31.783
Baden-Württemberg;2020-07-12;60+;3.4167
Baden-Württemberg;2020-07-13;00-19;23.142
Baden-Württemberg;2020-07-13;20-59;54.45
Baden-Württemberg;2020-07-13;60+;6.5167
Baden-Württemberg;2020-07-14;00-19;11.508
Baden-Württemberg;2020-07-14;20-59;43.033
Baden-Württemberg;2020-07-14;60+;4.9667
Baden-Württemberg;2020-07-15;00-19;14.95
Baden-Württemberg;2020-07-15;20-59;48.242
Baden-Württemberg;2020-07-15;60+;8.2917
Baden-Württemberg;2020-07-16;00-19;11.392
Baden-Württemberg;2020-07-16;20-59;46.708
Baden-Württemberg;2020-07-16;60+;6.3583
Baden-Württemberg;2020-07-17;00-19;16.667
Baden-Württemberg;2020-07-17;20-59;55.808
Baden-Württemberg;2020-07-17;60+;7.0583
Baden-Württemberg;2020-07-18;00-19;13.833
Baden-Württemberg;2020-07-18;20-59;38.933
Baden-Württemberg;2020-07-18;60+;13.275
Baden-Württemberg;2020-07-19;00-19;9.675
Baden-Württemberg;2020-07-19;20-59;38.725
Baden-Württemberg;2020-07-19;60+;10.233
Baden-Württemberg;2020-07-20;00-19;12.433
Baden-Württemberg;2020-07-20;20-59;41.5
Baden-Württemberg;2020-07-20;60+;11.442
Baden-Württemberg;2020-07-21;00-19;13.65
Baden-Württemberg;2020-07-21;20-59;49.658
Baden-Württemberg;2020-07-21;60+;6.95
Baden-Württemberg;2020-07-22;00-19;17.175
Baden-Württemberg;2020-07-22;20-59;50.075
Baden-Württemberg;2020-07-22;60+;9.175
Baden-Württemberg;2020-07-23;00-19;16.092
Baden-Württemberg;2020-07-23;20-59;62.967
Baden-Württemberg;2020-07-23;60+;6.8333
Baden-Württemberg;2020-07-24;00-19;10.208
Baden-Württemberg;2020-07-24;20-59;52.2
Baden-Württemberg;2020-07-24;60+;6.425
Baden-Württemberg;2020-07-25;00-19;9.9667
Baden-Württemberg;2020-07-25;20-59;45.558
Baden-Württemberg;2020-07-25;60+;5.7
Baden-Württemberg;2020-07-26;00-19;13.092
Baden-Württemberg;2020-07-26;20-59;41.508
Baden-Württemberg;2020-07-26;60+;8.725
Baden-Württemberg;2020-07-27;00-19;13.608
Baden-Württemberg;2020-07-27;20-59;54.017
Baden-Württemberg;2020-07-27;60+;7.5167
Baden-Württemberg;2020-07-28;00-19;18.017
Baden-Württemberg;2020-07-28;20-59;43.5
Baden-Württemberg;2020-07-28;60+;5.35
Baden-Württemberg;2020-07-29;00-19;12.492
Baden-Württemberg;2020-07-29;20-59;44.867
Baden-Württemberg;2020-07-29;60+;2.8167
Baden-Württemberg;2020-07-30;00-19;13.217
Baden-Württemberg;2020-07-30;20-59;42.542
Baden-Württemberg;2020-07-30;60+;7.8917
Baden-Württemberg;2020-07-31;00-19;9.6583
Baden-Württemberg;2020-07-31;20-59;46.5
Baden-Württemberg;2020-07-31;60+;8.05
Baden-Württemberg;2020-08-01;00-19;11.617
Baden-Württemberg;2020-08-01;20-59;41.967
Baden-Württemberg;2020-08-01;60+;8.45
Baden-Württemberg;2020-08-02;00-19;13.325
Baden-Württemberg;2020-08-02;20-59;45.367
Baden-Württemberg;2020-08-02;60+;8.2083
Baden-Württemberg;2020-08-03;00-19;14.008
Baden-Württemberg;2020-08-03;20-59;62.75
Baden-Württemberg;2020-08-03;60+;8.5667
Baden-Württemberg;2020-08-04;00-19;12
Baden-Württemberg;2020-08-04;20-59;71.067
Baden-Württemberg;2020-08-04;60+;4.475
Baden-Württemberg;2020-08-05;00-19;17.075
Baden-Württemberg;2020-08-05;20-59;62.617
Baden-Württemberg;2020-08-05;60+;7.8833
Baden-Württemberg;2020-08-06;00-19;21.05
Baden-Württemberg;2020-08-06;20-59;77.675
Baden-Württemberg;2020-08-06;60+;7.6
Baden-Württemberg;2020-08-07;00-19;17.983
Baden-Württemberg;2020-08-07;20-59;86.542
Baden-Württemberg;2020-08-07;60+;7.9
Baden-Württemberg;2020-08-08;00-19;17.883
Baden-Württemberg;2020-08-08;20-59;75.067
Baden-Württemberg;2020-08-08;60+;11.417
Baden-Württemberg;2020-08-09;00-19;22.45
Baden-Württemberg;2020-08-09;20-59;95.217
Baden-Württemberg;2020-08-09;60+;9.9583
Baden-Württemberg;2020-08-10;00-19;29.025
Baden-Württemberg;2020-08-10;20-59;135.84
Baden-Württemberg;2020-08-10;60+;9.7333
Baden-Württemberg;2020-08-11;00-19;29.7
Baden-Württemberg;2020-08-11;20-59;117.54
Baden-Württemberg;2020-08-11;60+;7.225
Baden-Württemberg;2020-08-12;00-19;34.058
Baden-Württemberg;2020-08-12;20-59;134.18
Baden-Württemberg;2020-08-12;60+;7.7417
Baden-Württemberg;2020-08-13;00-19;38.508
Baden-Württemberg;2020-08-13;20-59;152.86
Baden-Württemberg;2020-08-13;60+;8.3083
Baden-Württemberg;2020-08-14;00-19;34.758
Baden-Württemberg;2020-08-14;20-59;141.59
Baden-Württemberg;2020-08-14;60+;11.375
Baden-Württemberg;2020-08-15;00-19;37.042
Baden-Württemberg;2020-08-15;20-59;152.72
Baden-Württemberg;2020-08-15;60+;9.9833
Baden-Württemberg;2020-08-16;00-19;37.625
Baden-Württemberg;2020-08-16;20-59;170.37
Baden-Württemberg;2020-08-16;60+;11.183
Baden-Württemberg;2020-08-17;00-19;45.883
Baden-Württemberg;2020-08-17;20-59;202.1
Baden-Württemberg;2020-08-17;60+;11.575
Baden-Württemberg;2020-08-18;00-19;50.967
Baden-Württemberg;2020-08-18;20-59;184.38
Baden-Württemberg;2020-08-18;60+;11.408
Baden-Württemberg;2020-08-19;00-19;65.942
Baden-Württemberg;2020-08-19;20-59;198.64
Baden-Württemberg;2020-08-19;60+;13.2
