Bundesland;Datum;Altersgrupppe;EW_Fallzahl
Nordrhein-Westfalen;2021-09-11;20-59;998.36
Nordrhein-Westfalen;2021-09-11;60+;153.27
Nordrhein-Westfalen;2021-09-12;00-19;537.67
Nordrhein-Westfalen;2021-09-12;20-59;864.62
Nordrhein-Westfalen;2021-09-12;60+;137.65
Nordrhein-Westfalen;2021-09-13;00-19;756.97
Nordrhein-Westfalen;2021-09-13;20-59;1123.5
Nordrhein-Westfalen;2021-09-13;60+;201.99
Nordrhein-Westfalen;2021-09-14;00-19;717.73
Nordrhein-Westfalen;2021-09-14;20-59;1020.3
Nordrhein-Westfalen;2021-09-14;60+;174.17
Nordrhein-Westfalen;2021-09-15;00-19;607.88
Nordrhein-Westfalen;2021-09-15;20-59;941.46
Nordrhein-Westfalen;2021-09-15;60+;169.54
Nordrhein-Westfalen;2021-09-16;00-19;538.57
Nordrhein-Westfalen;2021-09-16;20-59;830.96
Nordrhein-Westfalen;2021-09-16;60+;161.5
Nordrhein-Westfalen;2021-09-17;00-19;513.73
Nordrhein-Westfalen;2021-09-17;20-59;788.7
Nordrhein-Westfalen;2021-09-17;60+;137.9
Nordrhein-Westfalen;2021-09-18;00-19;483.43
Nordrhein-Westfalen;2021-09-18;20-59;729.02
Nordrhein-Westfalen;2021-09-18;60+;135.77
Nordrhein-Westfalen;2021-09-19;00-19;475.02
Nordrhein-Westfalen;2021-09-19;20-59;737.14
Nordrhein-Westfalen;2021-09-19;60+;135.28
Nordrhein-Westfalen;2021-09-20;00-19;635.08
Nordrhein-Westfalen;2021-09-20;20-59;900.52
Nordrhein-Westfalen;2021-09-20;60+;179.68
Nordrhein-Westfalen;2021-09-21;00-19;541.7
Nordrhein-Westfalen;2021-09-21;20-59;790.83
Nordrhein-Westfalen;2021-09-21;60+;150.56
Nordrhein-Westfalen;2021-09-22;00-19;548.02
Nordrhein-Westfalen;2021-09-22;20-59;801
Nordrhein-Westfalen;2021-09-22;60+;167.15
Nordrhein-Westfalen;2021-09-23;00-19;485.71
Nordrhein-Westfalen;2021-09-23;20-59;760.73
Nordrhein-Westfalen;2021-09-23;60+;151.85
Nordrhein-Westfalen;2021-09-24;00-19;496.07
Nordrhein-Westfalen;2021-09-24;20-59;744.86
Nordrhein-Westfalen;2021-09-24;60+;146
Nordrhein-Westfalen;2021-09-25;00-19;390.18
Nordrhein-Westfalen;2021-09-25;20-59;735.1
Nordrhein-Westfalen;2021-09-25;60+;153.11
Nordrhein-Westfalen;2021-09-26;00-19;422.74
Nordrhein-Westfalen;2021-09-26;20-59;712.31
Nordrhein-Westfalen;2021-09-26;60+;131.86
Nordrhein-Westfalen;2021-09-27;00-19;589.58
Nordrhein-Westfalen;2021-09-27;20-59;910.22
Nordrhein-Westfalen;2021-09-27;60+;199.93
Nordrhein-Westfalen;2021-09-28;00-19;529.79
Nordrhein-Westfalen;2021-09-28;20-59;810.27
Nordrhein-Westfalen;2021-09-28;60+;164.51
Nordrhein-Westfalen;2021-09-29;00-19;455.52
Nordrhein-Westfalen;2021-09-29;20-59;750.01
Nordrhein-Westfalen;2021-09-29;60+;163.77
Nordrhein-Westfalen;2021-09-30;00-19;372.79
Nordrhein-Westfalen;2021-09-30;20-59;704.19
Nordrhein-Westfalen;2021-09-30;60+;132.18
Nordrhein-Westfalen;2021-10-01;00-19;409.72
Nordrhein-Westfalen;2021-10-01;20-59;706.63
Nordrhein-Westfalen;2021-10-01;60+;169.88
Nordrhein-Westfalen;2021-10-02;00-19;352.43
Nordrhein-Westfalen;2021-10-02;20-59;673.27
Nordrhein-Westfalen;2021-10-02;60+;136.41
Nordrhein-Westfalen;2021-10-03;00-19;367.65
Nordrhein-Westfalen;2021-10-03;20-59;677.49
Nordrhein-Westfalen;2021-10-03;60+;164.65
Nordrhein-Westfalen;2021-10-04;00-19;517.6
Nordrhein-Westfalen;2021-10-04;20-59;905.89
Nordrhein-Westfalen;2021-10-04;60+;226.96
Nordrhein-Westfalen;2021-10-05;00-19;438.16
Nordrhein-Westfalen;2021-10-05;20-59;780.83
Nordrhein-Westfalen;2021-10-05;60+;192.25
Nordrhein-Westfalen;2021-10-06;00-19;468.93
Nordrhein-Westfalen;2021-10-06;20-59;802.12
Nordrhein-Westfalen;2021-10-06;60+;191.81
Nordrhein-Westfalen;2021-10-07;00-19;370.15
Nordrhein-Westfalen;2021-10-07;20-59;681.99
Nordrhein-Westfalen;2021-10-07;60+;183.82
Nordrhein-Westfalen;2021-10-08;00-19;374.91
Nordrhein-Westfalen;2021-10-08;20-59;714.35
Nordrhein-Westfalen;2021-10-08;60+;173.64
Nordrhein-Westfalen;2021-10-09;00-19;279.2
Nordrhein-Westfalen;2021-10-09;20-59;673.02
Nordrhein-Westfalen;2021-10-09;60+;167.96
Nordrhein-Westfalen;2021-10-10;00-19;298.68
Nordrhein-Westfalen;2021-10-10;20-59;784.29
Nordrhein-Westfalen;2021-10-10;60+;204.37
Nordrhein-Westfalen;2021-10-11;00-19;342
Nordrhein-Westfalen;2021-10-11;20-59;984.32
Nordrhein-Westfalen;2021-10-11;60+;242.51
Nordrhein-Westfalen;2021-10-12;00-19;335.95
Nordrhein-Westfalen;2021-10-12;20-59;949.18
Nordrhein-Westfalen;2021-10-12;60+;250.75
Nordrhein-Westfalen;2021-10-13;00-19;335.94
Nordrhein-Westfalen;2021-10-13;20-59;967.32
Nordrhein-Westfalen;2021-10-13;60+;235
Nordrhein-Westfalen;2021-10-14;00-19;314.21
Nordrhein-Westfalen;2021-10-14;20-59;875.5
Nordrhein-Westfalen;2021-10-14;60+;249.53
Nordrhein-Westfalen;2021-10-15;00-19;371.04
Nordrhein-Westfalen;2021-10-15;20-59;961.32
Nordrhein-Westfalen;2021-10-15;60+;274.62
Nordrhein-Westfalen;2021-10-16;00-19;322.61
Nordrhein-Westfalen;2021-10-16;20-59;966.04
Nordrhein-Westfalen;2021-10-16;60+;304.27
Nordrhein-Westfalen;2021-10-17;00-19;354.62
Nordrhein-Westfalen;2021-10-17;20-59;1064.3
Nordrhein-Westfalen;2021-10-17;60+;308.38
Nordrhein-Westfalen;2021-10-18;00-19;506.15
Nordrhein-Westfalen;2021-10-18;20-59;1341.6
Nordrhein-Westfalen;2021-10-18;60+;385.56
Nordrhein-Westfalen;2021-10-19;00-19;502.86
Nordrhein-Westfalen;2021-10-19;20-59;1382.5
Nordrhein-Westfalen;2021-10-19;60+;370.78
Nordrhein-Westfalen;2021-10-20;00-19;549.58
Nordrhein-Westfalen;2021-10-20;20-59;1408.9
Nordrhein-Westfalen;2021-10-20;60+;371.08
Nordrhein-Westfalen;2021-10-21;00-19;550.1
Nordrhein-Westfalen;2021-10-21;20-59;1288.1
Nordrhein-Westfalen;2021-10-21;60+;390.62
Nordrhein-Westfalen;2021-10-22;00-19;622.83
Nordrhein-Westfalen;2021-10-22;20-59;1372.5
Nordrhein-Westfalen;2021-10-22;60+;360.88
Nordrhein-Westfalen;2021-10-23;00-19;687.51
Nordrhein-Westfalen;2021-10-23;20-59;1263.6
Nordrhein-Westfalen;2021-10-23;60+;341.29
Nordrhein-Westfalen;2021-10-24;00-19;825.34
Nordrhein-Westfalen;2021-10-24;20-59;1379.5
Nordrhein-Westfalen;2021-10-24;60+;340.44
Nordrhein-Westfalen;2021-10-25;00-19;1041.9
Nordrhein-Westfalen;2021-10-25;20-59;1581.3
Nordrhein-Westfalen;2021-10-25;60+;400.26
Nordrhein-Westfalen;2021-10-26;00-19;766.61
Nordrhein-Westfalen;2021-10-26;20-59;1322.3
Nordrhein-Westfalen;2021-10-26;60+;345.34
Nordrhein-Westfalen;2021-10-27;00-19;570.86
Nordrhein-Westfalen;2021-10-27;20-59;973.23
Nordrhein-Westfalen;2021-10-27;60+;280.31
Nordrhein-Westfalen;2021-10-28;00-19;340.4
Nordrhein-Westfalen;2021-10-28;20-59;530.86
Nordrhein-Westfalen;2021-10-28;60+;148.97
Nordrhein-Westfalen;2021-10-29;00-19;190.82
Nordrhein-Westfalen;2021-10-29;20-59;222.47
Nordrhein-Westfalen;2021-10-29;60+;59.858
Nordrhein-Westfalen;2021-10-30;00-19;8.7417
Nordrhein-Westfalen;2021-10-30;20-59;7.975
Nordrhein-Westfalen;2021-10-30;60+;4.5417
Rheinland-Pfalz;2020-02-20;00-19;0.033333
Rheinland-Pfalz;2020-02-20;20-59;0.18333
Rheinland-Pfalz;2020-02-20;60+;0.016667
Rheinland-Pfalz;2020-02-21;00-19;0.025
Rheinland-Pfalz;2020-02-21;20-59;0.14167
Rheinland-Pfalz;2020-02-21;60+;0.0083333
Rheinland-Pfalz;2020-02-22;00-19;0
Rheinland-Pfalz;2020-02-22;20-59;0.29167
Rheinland-Pfalz;2020-02-22;60+;0.05
Rheinland-Pfalz;2020-02-23;00-19;0
Rheinland-Pfalz;2020-02-23;20-59;1.3583
Rheinland-Pfalz;2020-02-23;60+;0.16667
Rheinland-Pfalz;2020-02-24;00-19;0.041667
Rheinland-Pfalz;2020-02-24;20-59;0.5
Rheinland-Pfalz;2020-02-24;60+;0.225
Rheinland-Pfalz;2020-02-25;00-19;0.1
Rheinland-Pfalz;2020-02-25;20-59;2.1
Rheinland-Pfalz;2020-02-25;60+;0.25
Rheinland-Pfalz;2020-02-26;00-19;0.13333
Rheinland-Pfalz;2020-02-26;20-59;4.4167
Rheinland-Pfalz;2020-02-26;60+;0.225
Rheinland-Pfalz;2020-02-27;00-19;1.025
Rheinland-Pfalz;2020-02-27;20-59;1.9167
Rheinland-Pfalz;2020-02-27;60+;0.64167
Rheinland-Pfalz;2020-02-28;00-19;0.1
Rheinland-Pfalz;2020-02-28;20-59;3.1167
Rheinland-Pfalz;2020-02-28;60+;0.65
Rheinland-Pfalz;2020-02-29;00-19;0.15833
Rheinland-Pfalz;2020-02-29;20-59;2.7
Rheinland-Pfalz;2020-02-29;60+;2
Rheinland-Pfalz;2020-03-01;00-19;1.2167
Rheinland-Pfalz;2020-03-01;20-59;6.85
Rheinland-Pfalz;2020-03-01;60+;2.1417
Rheinland-Pfalz;2020-03-02;00-19;1.3333
Rheinland-Pfalz;2020-03-02;20-59;7.2083
Rheinland-Pfalz;2020-03-02;60+;5.5417
Rheinland-Pfalz;2020-03-03;00-19;0.425
Rheinland-Pfalz;2020-03-03;20-59;8.0583
Rheinland-Pfalz;2020-03-03;60+;2.825
Rheinland-Pfalz;2020-03-04;00-19;0.46667
Rheinland-Pfalz;2020-03-04;20-59;9.05
Rheinland-Pfalz;2020-03-04;60+;4.4917
Rheinland-Pfalz;2020-03-05;00-19;1.6083
Rheinland-Pfalz;2020-03-05;20-59;13.108
Rheinland-Pfalz;2020-03-05;60+;3.8583
Rheinland-Pfalz;2020-03-06;00-19;0.89167
Rheinland-Pfalz;2020-03-06;20-59;20.683
Rheinland-Pfalz;2020-03-06;60+;7.25
Rheinland-Pfalz;2020-03-07;00-19;1.0667
Rheinland-Pfalz;2020-03-07;20-59;36.158
Rheinland-Pfalz;2020-03-07;60+;10.392
Rheinland-Pfalz;2020-03-08;00-19;0.98333
Rheinland-Pfalz;2020-03-08;20-59;55.65
Rheinland-Pfalz;2020-03-08;60+;11.725
Rheinland-Pfalz;2020-03-09;00-19;1.3417
Rheinland-Pfalz;2020-03-09;20-59;72.425
Rheinland-Pfalz;2020-03-09;60+;16.175
Rheinland-Pfalz;2020-03-10;00-19;6.475
Rheinland-Pfalz;2020-03-10;20-59;89.275
Rheinland-Pfalz;2020-03-10;60+;22.467
Rheinland-Pfalz;2020-03-11;00-19;6.0083
Rheinland-Pfalz;2020-03-11;20-59;123.03
Rheinland-Pfalz;2020-03-11;60+;29.367
Rheinland-Pfalz;2020-03-12;00-19;4.7417
Rheinland-Pfalz;2020-03-12;20-59;138.35
Rheinland-Pfalz;2020-03-12;60+;33.567
Rheinland-Pfalz;2020-03-13;00-19;6.9917
Rheinland-Pfalz;2020-03-13;20-59;165.62
Rheinland-Pfalz;2020-03-13;60+;28.933
Rheinland-Pfalz;2020-03-14;00-19;4.9833
Rheinland-Pfalz;2020-03-14;20-59;157.83
Rheinland-Pfalz;2020-03-14;60+;40.675
Rheinland-Pfalz;2020-03-15;00-19;5.5333
Rheinland-Pfalz;2020-03-15;20-59;147.36
Rheinland-Pfalz;2020-03-15;60+;46.575
Rheinland-Pfalz;2020-03-16;00-19;13.975
Rheinland-Pfalz;2020-03-16;20-59;192.74
Rheinland-Pfalz;2020-03-16;60+;49.858
Rheinland-Pfalz;2020-03-17;00-19;12.517
Rheinland-Pfalz;2020-03-17;20-59;188.89
Rheinland-Pfalz;2020-03-17;60+;62.175
Rheinland-Pfalz;2020-03-18;00-19;8.2917
Rheinland-Pfalz;2020-03-18;20-59;152.08
Rheinland-Pfalz;2020-03-18;60+;61.792
Rheinland-Pfalz;2020-03-19;00-19;8.0917
Rheinland-Pfalz;2020-03-19;20-59;138.49
Rheinland-Pfalz;2020-03-19;60+;42.542
Rheinland-Pfalz;2020-03-20;00-19;12.258
Rheinland-Pfalz;2020-03-20;20-59;151.7
Rheinland-Pfalz;2020-03-20;60+;64
Rheinland-Pfalz;2020-03-21;00-19;12.15
Rheinland-Pfalz;2020-03-21;20-59;111.19
Rheinland-Pfalz;2020-03-21;60+;35.567
Rheinland-Pfalz;2020-03-22;00-19;3.9667
Rheinland-Pfalz;2020-03-22;20-59;93.692
Rheinland-Pfalz;2020-03-22;60+;35.958
Rheinland-Pfalz;2020-03-23;00-19;14.3
Rheinland-Pfalz;2020-03-23;20-59;130.58
Rheinland-Pfalz;2020-03-23;60+;54.092
Rheinland-Pfalz;2020-03-24;00-19;10.117
Rheinland-Pfalz;2020-03-24;20-59;107.15
Rheinland-Pfalz;2020-03-24;60+;38.675
Rheinland-Pfalz;2020-03-25;00-19;11.008
Rheinland-Pfalz;2020-03-25;20-59;95.8
Rheinland-Pfalz;2020-03-25;60+;40.067
Rheinland-Pfalz;2020-03-26;00-19;6.725
Rheinland-Pfalz;2020-03-26;20-59;89.475
Rheinland-Pfalz;2020-03-26;60+;43.175
Rheinland-Pfalz;2020-03-27;00-19;4.6417
Rheinland-Pfalz;2020-03-27;20-59;88.717
Rheinland-Pfalz;2020-03-27;60+;25.05
Rheinland-Pfalz;2020-03-28;00-19;9.6
Rheinland-Pfalz;2020-03-28;20-59;91.65
Rheinland-Pfalz;2020-03-28;60+;40.175
Rheinland-Pfalz;2020-03-29;00-19;10.3
Rheinland-Pfalz;2020-03-29;20-59;65.967
Rheinland-Pfalz;2020-03-29;60+;38.792
Rheinland-Pfalz;2020-03-30;00-19;12.683
Rheinland-Pfalz;2020-03-30;20-59;85.15
Rheinland-Pfalz;2020-03-30;60+;49.533
Rheinland-Pfalz;2020-03-31;00-19;9.725
Rheinland-Pfalz;2020-03-31;20-59;68.908
Rheinland-Pfalz;2020-03-31;60+;36.342
Rheinland-Pfalz;2020-04-01;00-19;10.875
Rheinland-Pfalz;2020-04-01;20-59;81.592
Rheinland-Pfalz;2020-04-01;60+;34.7
Rheinland-Pfalz;2020-04-02;00-19;7.5583
Rheinland-Pfalz;2020-04-02;20-59;75.567
Rheinland-Pfalz;2020-04-02;60+;40.642
Rheinland-Pfalz;2020-04-03;00-19;8.125
Rheinland-Pfalz;2020-04-03;20-59;74.667
Rheinland-Pfalz;2020-04-03;60+;41.692
Rheinland-Pfalz;2020-04-04;00-19;7.7417
Rheinland-Pfalz;2020-04-04;20-59;52.792
Rheinland-Pfalz;2020-04-04;60+;25.425
Rheinland-Pfalz;2020-04-05;00-19;5.0583
Rheinland-Pfalz;2020-04-05;20-59;58.075
Rheinland-Pfalz;2020-04-05;60+;35.958
Rheinland-Pfalz;2020-04-06;00-19;3.7667
Rheinland-Pfalz;2020-04-06;20-59;62.183
Rheinland-Pfalz;2020-04-06;60+;39.65
Rheinland-Pfalz;2020-04-07;00-19;5.875
Rheinland-Pfalz;2020-04-07;20-59;52.192
Rheinland-Pfalz;2020-04-07;60+;44.417
Rheinland-Pfalz;2020-04-08;00-19;6.1333
Rheinland-Pfalz;2020-04-08;20-59;44
Rheinland-Pfalz;2020-04-08;60+;41.825
Rheinland-Pfalz;2020-04-09;00-19;4.4333
Rheinland-Pfalz;2020-04-09;20-59;47.85
Rheinland-Pfalz;2020-04-09;60+;38.067
Rheinland-Pfalz;2020-04-10;00-19;6.4833
Rheinland-Pfalz;2020-04-10;20-59;52.192
Rheinland-Pfalz;2020-04-10;60+;27.2
Rheinland-Pfalz;2020-04-11;00-19;4.5583
Rheinland-Pfalz;2020-04-11;20-59;40.617
Rheinland-Pfalz;2020-04-11;60+;29.067
Rheinland-Pfalz;2020-04-12;00-19;2.4
Rheinland-Pfalz;2020-04-12;20-59;48
Rheinland-Pfalz;2020-04-12;60+;24.333
Rheinland-Pfalz;2020-04-13;00-19;4.525
Rheinland-Pfalz;2020-04-13;20-59;34.3
Rheinland-Pfalz;2020-04-13;60+;23.733
Rheinland-Pfalz;2020-04-14;00-19;2.6833
Rheinland-Pfalz;2020-04-14;20-59;37.617
Rheinland-Pfalz;2020-04-14;60+;30.917
Rheinland-Pfalz;2020-04-15;00-19;5.7333
Rheinland-Pfalz;2020-04-15;20-59;32.817
Rheinland-Pfalz;2020-04-15;60+;32.333
Rheinland-Pfalz;2020-04-16;00-19;7.8083
Rheinland-Pfalz;2020-04-16;20-59;34.433
Rheinland-Pfalz;2020-04-16;60+;21.1
Rheinland-Pfalz;2020-04-17;00-19;2.4417
Rheinland-Pfalz;2020-04-17;20-59;28.65
Rheinland-Pfalz;2020-04-17;60+;17.008
Rheinland-Pfalz;2020-04-18;00-19;1.9
Rheinland-Pfalz;2020-04-18;20-59;23.475
Rheinland-Pfalz;2020-04-18;60+;14.008
Rheinland-Pfalz;2020-04-19;00-19;5.3083
Rheinland-Pfalz;2020-04-19;20-59;16.417
Rheinland-Pfalz;2020-04-19;60+;12.117
Rheinland-Pfalz;2020-04-20;00-19;3.4
Rheinland-Pfalz;2020-04-20;20-59;20.342
Rheinland-Pfalz;2020-04-20;60+;26.767
Rheinland-Pfalz;2020-04-21;00-19;2.5167
Rheinland-Pfalz;2020-04-21;20-59;21.358
Rheinland-Pfalz;2020-04-21;60+;15.592
Rheinland-Pfalz;2020-04-22;00-19;3.15
Rheinland-Pfalz;2020-04-22;20-59;24.567
Rheinland-Pfalz;2020-04-22;60+;14.208
Rheinland-Pfalz;2020-04-23;00-19;2.7
Rheinland-Pfalz;2020-04-23;20-59;16.575
Rheinland-Pfalz;2020-04-23;60+;11.733
Rheinland-Pfalz;2020-04-24;00-19;1.8167
Rheinland-Pfalz;2020-04-24;20-59;17.525
Rheinland-Pfalz;2020-04-24;60+;13.175
Rheinland-Pfalz;2020-04-25;00-19;1.0833
Rheinland-Pfalz;2020-04-25;20-59;21.533
Rheinland-Pfalz;2020-04-25;60+;12.233
Rheinland-Pfalz;2020-04-26;00-19;2.4583
Rheinland-Pfalz;2020-04-26;20-59;16.675
Rheinland-Pfalz;2020-04-26;60+;16.9
Rheinland-Pfalz;2020-04-27;00-19;5.05
Rheinland-Pfalz;2020-04-27;20-59;18.675
Rheinland-Pfalz;2020-04-27;60+;13.083
Rheinland-Pfalz;2020-04-28;00-19;4.3333
Rheinland-Pfalz;2020-04-28;20-59;26.067
Rheinland-Pfalz;2020-04-28;60+;9.95
Rheinland-Pfalz;2020-04-29;00-19;2.15
Rheinland-Pfalz;2020-04-29;20-59;11.433
Rheinland-Pfalz;2020-04-29;60+;5.75
Rheinland-Pfalz;2020-04-30;00-19;3.05
Rheinland-Pfalz;2020-04-30;20-59;10.683
Rheinland-Pfalz;2020-04-30;60+;4.9917
Rheinland-Pfalz;2020-05-01;00-19;2.3417
Rheinland-Pfalz;2020-05-01;20-59;15
Rheinland-Pfalz;2020-05-01;60+;4.4667
Rheinland-Pfalz;2020-05-02;00-19;4.75
Rheinland-Pfalz;2020-05-02;20-59;17.375
Rheinland-Pfalz;2020-05-02;60+;4.2917
Rheinland-Pfalz;2020-05-03;00-19;3.5833
Rheinland-Pfalz;2020-05-03;20-59;13.108
Rheinland-Pfalz;2020-05-03;60+;4.6917
Rheinland-Pfalz;2020-05-04;00-19;5.75
Rheinland-Pfalz;2020-05-04;20-59;17.383
Rheinland-Pfalz;2020-05-04;60+;7.2083
Rheinland-Pfalz;2020-05-05;00-19;4.7667
Rheinland-Pfalz;2020-05-05;20-59;18.125
Rheinland-Pfalz;2020-05-05;60+;6.975
Rheinland-Pfalz;2020-05-06;00-19;2.225
Rheinland-Pfalz;2020-05-06;20-59;11.867
Rheinland-Pfalz;2020-05-06;60+;3.325
Rheinland-Pfalz;2020-05-07;00-19;5.4917
Rheinland-Pfalz;2020-05-07;20-59;8.7333
Rheinland-Pfalz;2020-05-07;60+;3.1583
Rheinland-Pfalz;2020-05-08;00-19;6.1667
Rheinland-Pfalz;2020-05-08;20-59;16.025
Rheinland-Pfalz;2020-05-08;60+;3
Rheinland-Pfalz;2020-05-09;00-19;5.6583
Rheinland-Pfalz;2020-05-09;20-59;19.45
Rheinland-Pfalz;2020-05-09;60+;4.1917
Rheinland-Pfalz;2020-05-10;00-19;4.625
Rheinland-Pfalz;2020-05-10;20-59;9.4
Rheinland-Pfalz;2020-05-10;60+;5.3917
Rheinland-Pfalz;2020-05-11;00-19;6.1833
Rheinland-Pfalz;2020-05-11;20-59;16.817
Rheinland-Pfalz;2020-05-11;60+;6.3583
Rheinland-Pfalz;2020-05-12;00-19;7.075
Rheinland-Pfalz;2020-05-12;20-59;10.617
Rheinland-Pfalz;2020-05-12;60+;3.0583
Rheinland-Pfalz;2020-05-13;00-19;6.325
Rheinland-Pfalz;2020-05-13;20-59;7.8917
Rheinland-Pfalz;2020-05-13;60+;2.2583
Rheinland-Pfalz;2020-05-14;00-19;6.0083
Rheinland-Pfalz;2020-05-14;20-59;10.333
Rheinland-Pfalz;2020-05-14;60+;1.4
Rheinland-Pfalz;2020-05-15;00-19;8.475
Rheinland-Pfalz;2020-05-15;20-59;13.833
Rheinland-Pfalz;2020-05-15;60+;1.0583
Rheinland-Pfalz;2020-05-16;00-19;6.6167
Rheinland-Pfalz;2020-05-16;20-59;14.575
Rheinland-Pfalz;2020-05-16;60+;0.91667
Rheinland-Pfalz;2020-05-17;00-19;2.8583
Rheinland-Pfalz;2020-05-17;20-59;8.675
Rheinland-Pfalz;2020-05-17;60+;1.0583
Rheinland-Pfalz;2020-05-18;00-19;2.5
Rheinland-Pfalz;2020-05-18;20-59;8.7333
Rheinland-Pfalz;2020-05-18;60+;0.925
Rheinland-Pfalz;2020-05-19;00-19;2.6583
Rheinland-Pfalz;2020-05-19;20-59;7.1167
Rheinland-Pfalz;2020-05-19;60+;2.0167
Rheinland-Pfalz;2020-05-20;00-19;1.2583
Rheinland-Pfalz;2020-05-20;20-59;8.6333
Rheinland-Pfalz;2020-05-20;60+;2.0333
Rheinland-Pfalz;2020-05-21;00-19;2.9333
Rheinland-Pfalz;2020-05-21;20-59;10.008
Rheinland-Pfalz;2020-05-21;60+;0.69167
Rheinland-Pfalz;2020-05-22;00-19;4.0333
Rheinland-Pfalz;2020-05-22;20-59;9.1417
Rheinland-Pfalz;2020-05-22;60+;0.93333
Rheinland-Pfalz;2020-05-23;00-19;1.3417
Rheinland-Pfalz;2020-05-23;20-59;5.35
Rheinland-Pfalz;2020-05-23;60+;0.78333
Rheinland-Pfalz;2020-05-24;00-19;2.55
Rheinland-Pfalz;2020-05-24;20-59;6.5
Rheinland-Pfalz;2020-05-24;60+;2.025
Rheinland-Pfalz;2020-05-25;00-19;5.6
Rheinland-Pfalz;2020-05-25;20-59;9.4833
Rheinland-Pfalz;2020-05-25;60+;2.6333
Rheinland-Pfalz;2020-05-26;00-19;3.4833
Rheinland-Pfalz;2020-05-26;20-59;7.3583
Rheinland-Pfalz;2020-05-26;60+;3.2583
Rheinland-Pfalz;2020-05-27;00-19;2.8333
Rheinland-Pfalz;2020-05-27;20-59;9.2833
Rheinland-Pfalz;2020-05-27;60+;2.0333
Rheinland-Pfalz;2020-05-28;00-19;1.3167
Rheinland-Pfalz;2020-05-28;20-59;5.1583
Rheinland-Pfalz;2020-05-28;60+;1.4333
Rheinland-Pfalz;2020-05-29;00-19;3.6833
Rheinland-Pfalz;2020-05-29;20-59;4.6667
Rheinland-Pfalz;2020-05-29;60+;2.3917
Rheinland-Pfalz;2020-05-30;00-19;1.0083
Rheinland-Pfalz;2020-05-30;20-59;4.7667
Rheinland-Pfalz;2020-05-30;60+;0.76667
Rheinland-Pfalz;2020-05-31;00-19;0.86667
Rheinland-Pfalz;2020-05-31;20-59;7.1333
Rheinland-Pfalz;2020-05-31;60+;4.75
Rheinland-Pfalz;2020-06-01;00-19;1.6167
Rheinland-Pfalz;2020-06-01;20-59;6.9583
Rheinland-Pfalz;2020-06-01;60+;0.95833
Rheinland-Pfalz;2020-06-02;00-19;5.2583
Rheinland-Pfalz;2020-06-02;20-59;8.4917
Rheinland-Pfalz;2020-06-02;60+;1.3583
Rheinland-Pfalz;2020-06-03;00-19;3.025
Rheinland-Pfalz;2020-06-03;20-59;9.7583
Rheinland-Pfalz;2020-06-03;60+;1.1583
Rheinland-Pfalz;2020-06-04;00-19;2.4333
Rheinland-Pfalz;2020-06-04;20-59;7.65
Rheinland-Pfalz;2020-06-04;60+;2.4333
Rheinland-Pfalz;2020-06-05;00-19;2.7333
Rheinland-Pfalz;2020-06-05;20-59;5.9167
Rheinland-Pfalz;2020-06-05;60+;1.3167
Rheinland-Pfalz;2020-06-06;00-19;1.3583
Rheinland-Pfalz;2020-06-06;20-59;6.4583
Rheinland-Pfalz;2020-06-06;60+;0.34167
Rheinland-Pfalz;2020-06-07;00-19;0.14167
Rheinland-Pfalz;2020-06-07;20-59;5.225
Rheinland-Pfalz;2020-06-07;60+;0.65
Rheinland-Pfalz;2020-06-08;00-19;0.49167
Rheinland-Pfalz;2020-06-08;20-59;8.3417
Rheinland-Pfalz;2020-06-08;60+;1.975
Rheinland-Pfalz;2020-06-09;00-19;1.9917
Rheinland-Pfalz;2020-06-09;20-59;5.7417
Rheinland-Pfalz;2020-06-09;60+;2.1417
Rheinland-Pfalz;2020-06-10;00-19;0.825
Rheinland-Pfalz;2020-06-10;20-59;5.875
Rheinland-Pfalz;2020-06-10;60+;2.3583
Rheinland-Pfalz;2020-06-11;00-19;0.5
Rheinland-Pfalz;2020-06-11;20-59;5.5417
Rheinland-Pfalz;2020-06-11;60+;0.8
Rheinland-Pfalz;2020-06-12;00-19;0.175
Rheinland-Pfalz;2020-06-12;20-59;4.0083
Rheinland-Pfalz;2020-06-12;60+;1.9333
Rheinland-Pfalz;2020-06-13;00-19;1.1417
Rheinland-Pfalz;2020-06-13;20-59;8.3167
Rheinland-Pfalz;2020-06-13;60+;0.775
Rheinland-Pfalz;2020-06-14;00-19;1.225
Rheinland-Pfalz;2020-06-14;20-59;5.375
Rheinland-Pfalz;2020-06-14;60+;3.15
Rheinland-Pfalz;2020-06-15;00-19;2.025
Rheinland-Pfalz;2020-06-15;20-59;11.458
Rheinland-Pfalz;2020-06-15;60+;1.85
Rheinland-Pfalz;2020-06-16;00-19;1.9167
Rheinland-Pfalz;2020-06-16;20-59;7.1083
Rheinland-Pfalz;2020-06-16;60+;2.375
Rheinland-Pfalz;2020-06-17;00-19;1.9333
Rheinland-Pfalz;2020-06-17;20-59;4.3917
Rheinland-Pfalz;2020-06-17;60+;1.5333
Rheinland-Pfalz;2020-06-18;00-19;1.1333
Rheinland-Pfalz;2020-06-18;20-59;6.2417
Rheinland-Pfalz;2020-06-18;60+;1.6083
Rheinland-Pfalz;2020-06-19;00-19;1.8667
Rheinland-Pfalz;2020-06-19;20-59;7.8583
Rheinland-Pfalz;2020-06-19;60+;1.75
